"","Type","Date","Part of a policing operation","Policing operation","Gender","Age range","Self-defined ethnicity","Officer-defined ethnicity","Legislation","Object of search","Outcome","Outcome linked to object of search","Removal of more than just outer clothing","label","name","code"
"396","Person search",2019-06-27 20:35:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"397","Person search",2019-06-28 12:41:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033667","Manchester 054E","E01033667"
"398","Person search",2019-06-28 17:00:00,TRUE,NA,"Male","25-34","Asian/Asian British - Pakistani","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Caution (simple or conditional)",TRUE,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"399","Person search",2019-06-28 17:05:00,TRUE,NA,NA,"over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"400","Person search",2019-06-28 17:45:00,TRUE,NA,NA,"18-24","Black/African/Caribbean/Black British - Caribbean","Black","Police and Criminal Evidence Act 1984 (section 1)","Articles for use in criminal damage","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"401","Person search",2019-06-28 18:12:00,TRUE,NA,"Female","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"402","Person search",2019-06-28 18:40:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"403","Person search",2019-06-28 18:46:00,TRUE,NA,"Male","18-24","Asian/Asian British - Bangladeshi","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033664","Manchester 054D","E01033664"
"404","Person search",2019-06-28 18:48:00,TRUE,NA,NA,"18-24","Asian/Asian British - Pakistani","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033664","Manchester 054D","E01033664"
"405","Person search",2019-06-28 18:56:00,TRUE,NA,"Male","10-17","Other ethnic group - Not stated","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02001069E01005244","Manchester 025C","E01005244"
"406","Person search",2019-06-28 23:37:00,FALSE,NA,"Male","over 34","Black/African/Caribbean/Black British - Any other Black/African/Caribbean background","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","Arrest",FALSE,FALSE,"E08000003E02001067E01005195","Manchester 023A","E01005195"
"407","Person search",2019-06-29 02:52:00,FALSE,NA,"Male","18-24","Black/African/Caribbean/Black British - Caribbean","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","Khat or Cannabis warning",FALSE,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"408","Person and Vehicle search",2019-06-29 10:35:00,FALSE,NA,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Caution (simple or conditional)",TRUE,FALSE,"E08000003E02001046E01005101","Manchester 002A","E01005101"
"409","Person and Vehicle search",2019-06-29 10:35:00,FALSE,NA,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Caution (simple or conditional)",TRUE,FALSE,"E08000003E02001046E01005101","Manchester 002A","E01005101"
"410","Person search",2019-06-29 11:30:00,FALSE,NA,"Female","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal",NA,FALSE,"E08000003E02006914E01033662","Manchester 057C","E01033662"
"411","Person search",2019-06-29 13:50:00,FALSE,NA,NA,NA,"Black/African/Caribbean/Black British - Caribbean","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006917E01033677","Manchester 060A","E01033677"
"412","Person search",2019-06-29 16:50:00,TRUE,NA,"Male",NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Summons / charged by post",TRUE,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"413","Person search",2019-06-29 17:41:00,TRUE,NA,NA,NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02001053E01005202","Manchester 009A","E01005202"
"414","Person search",2019-06-29 17:41:00,TRUE,NA,NA,NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02001053E01005202","Manchester 009A","E01005202"
"415","Person search",2019-06-29 18:02:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"416","Person search",2019-06-29 19:45:00,TRUE,NA,"Male","18-24","Asian/Asian British - Pakistani","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"417","Person search",2019-06-29 19:59:00,TRUE,NA,"Male","18-24","Other ethnic group - Any other ethnic group","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Khat or Cannabis warning",TRUE,FALSE,"E08000003E02001053E01033678","Manchester 009F","E01033678"
"418","Person search",2019-06-29 22:15:00,TRUE,NA,NA,NA,"Other ethnic group - Any other ethnic group","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006915E01005147","Manchester 058B","E01005147"
"419","Person and Vehicle search",2019-06-29 22:26:00,FALSE,NA,"Male","over 34","Black/African/Caribbean/Black British - Any other Black/African/Caribbean background","Black","Police and Criminal Evidence Act 1984 (section 1)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02001069E01005242","Manchester 025B","E01005242"
"420","Person search",2019-06-29 23:20:00,FALSE,NA,"Male",NA,"White - Any other White background","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"421","Person and Vehicle search",2019-06-29 23:30:00,FALSE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02001062E01005062","Manchester 018B","E01005062"
"422","Person search",2019-06-29 23:32:00,FALSE,NA,"Female","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02001062E01005062","Manchester 018B","E01005062"
"423","Person search",2019-06-29 23:33:00,FALSE,NA,"Female","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02001062E01005062","Manchester 018B","E01005062"
"424","Person and Vehicle search",2019-06-29 23:35:00,FALSE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02001062E01005062","Manchester 018B","E01005062"
"425","Person search",2019-06-30 00:08:00,FALSE,NA,"Male","25-34","Asian/Asian British - Pakistani","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"426","Person search",2019-06-30 00:08:00,FALSE,NA,NA,"18-24","Asian/Asian British - Pakistani","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"427","Person search",2019-06-30 01:25:00,FALSE,NA,"Male","18-24","Asian/Asian British - Any other Asian background","Other","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"428","Person search",2019-06-30 01:25:00,FALSE,NA,NA,"18-24","Asian/Asian British - Pakistani","Other","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"429","Person search",2019-06-30 01:33:00,TRUE,NA,NA,NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Anything to threaten or harm anyone","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"430","Person search",2019-06-30 07:38:00,TRUE,NA,"Male","over 34","Asian/Asian British - Any other Asian background","Asian","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal",NA,FALSE,"E08000003E02006917E01033677","Manchester 060A","E01033677"
"431","Person search",2019-06-30 07:38:00,TRUE,NA,"Male",NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal",NA,FALSE,"E08000003E02006917E01033677","Manchester 060A","E01033677"
"432","Person search",2019-06-30 09:00:00,FALSE,NA,NA,NA,"Asian/Asian British - Indian","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006913E01033676","Manchester 056D","E01033676"
"433","Person search",2019-06-30 09:00:00,FALSE,NA,NA,NA,"Asian/Asian British - Indian","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Community resolution",TRUE,FALSE,"E08000003E02006913E01033676","Manchester 056D","E01033676"
"434","Person and Vehicle search",2019-06-30 09:23:00,FALSE,NA,NA,"under 10","Mixed/Multiple ethnic groups - White and Asian","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006915E01005147","Manchester 058B","E01005147"
"435","Person search",2019-06-30 17:59:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
