"","Type","Date","Part of a policing operation","Policing operation","Gender","Age range","Self-defined ethnicity","Officer-defined ethnicity","Legislation","Object of search","Outcome","Outcome linked to object of search","Removal of more than just outer clothing","label","name","code"
"317","Person search",2019-06-21 11:08:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"318","Person search",2019-06-21 11:20:00,FALSE,NA,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Summons / charged by post",TRUE,FALSE,"E08000003E02001061E01005108","Manchester 017A","E01005108"
"319","Person search",2019-06-21 12:33:00,TRUE,NA,"Male","25-34","White - Any other White background","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"320","Person search",2019-06-21 13:20:00,TRUE,NA,"Male","25-34","Other ethnic group - Not stated",NA,"Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"321","Person search",2019-06-21 13:24:00,TRUE,NA,"Male",NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Summons / charged by post",TRUE,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"322","Person search",2019-06-21 13:26:00,TRUE,NA,"Male",NA,"Asian/Asian British - Any other Asian background","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"323","Person search",2019-06-21 16:47:00,TRUE,NA,"Male",NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"324","Person search",2019-06-21 17:45:00,TRUE,NA,NA,NA,"Asian/Asian British - Any other Asian background","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"325","Vehicle search",2019-06-21 17:45:00,FALSE,NA,NA,NA,NA,NA,"Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02001069E01005285","Manchester 025D","E01005285"
"326","Person search",2019-06-21 17:50:00,TRUE,NA,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
