Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2019-06-08T10:51:00+00:00,True,,53.531096,-2.267862,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T12:25:00+00:00,False,,53.539255,-2.100681,Male,10-17,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T12:26:00+00:00,False,,53.539255,-2.100681,Male,10-17,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T12:27:00+00:00,False,,53.539255,-2.100681,Male,10-17,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T12:28:00+00:00,False,,53.539255,-2.100681,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2019-06-08T12:35:00+00:00,False,,53.511676,-2.245392,Male,25-34,Other ethnic group - Arab,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2019-06-08T12:35:00+00:00,False,,53.511676,-2.245392,Male,25-34,Other ethnic group - Arab,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2019-06-08T13:34:00+00:00,False,,53.528551,-2.268495,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T14:00:00+00:00,True,,53.477843,-2.241188,Male,18-24,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2019-06-08T14:00:00+00:00,False,,53.478497,-2.237712,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T15:40:00+00:00,False,,52.246488,-0.154570,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,False,False
Person search,2019-06-08T17:00:00+00:00,False,,51.907260,-0.047188,Male,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Goods on which duty has not been paid etc.,A no further action disposal,,False
Person search,2019-06-08T17:00:00+00:00,False,,51.907260,-0.047188,,,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Goods on which duty has not been paid etc.,A no further action disposal,,False
Person search,2019-06-08T17:00:00+00:00,False,,53.493741,-2.250925,Male,,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Goods on which duty has not been paid etc.,A no further action disposal,,False
Person search,2019-06-08T17:05:00+00:00,False,,51.907260,-0.047188,,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Goods on which duty has not been paid etc.,A no further action disposal,,False
Person search,2019-06-08T17:05:00+00:00,False,,51.907260,-0.047188,Male,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Goods on which duty has not been paid etc.,A no further action disposal,,False
Person search,2019-06-08T17:32:00+00:00,True,,53.481916,-2.240549,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2019-06-08T17:35:00+00:00,False,,53.528551,-2.268495,Male,,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,False,False
Vehicle search,2019-06-08T19:00:00+00:00,False,,51.907260,-0.047188,,,,,Police and Criminal Evidence Act 1984 (section 1),Goods on which duty has not been paid etc.,Arrest,True,False
Person search,2019-06-08T19:00:00+00:00,False,,51.907260,-0.047188,,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Goods on which duty has not been paid etc.,A no further action disposal,,False
Vehicle search,2019-06-08T19:00:00+00:00,False,,51.907260,-0.047188,,,,,Police and Criminal Evidence Act 1984 (section 1),Goods on which duty has not been paid etc.,Community resolution,True,False
Person search,2019-06-08T19:00:00+00:00,False,,51.907260,-0.047188,,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Goods on which duty has not been paid etc.,Community resolution,True,False
Person search,2019-06-08T19:04:00+00:00,False,,53.527330,-2.255680,Male,over 34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T19:05:00+00:00,False,,51.907260,-0.047188,Male,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Goods on which duty has not been paid etc.,Arrest,True,False
Person search,2019-06-08T19:48:00+00:00,False,,53.454480,-2.223738,Male,over 34,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2019-06-08T19:56:00+00:00,True,,53.524602,-2.261878,,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2019-06-08T20:00:00+00:00,False,,53.604769,-2.166486,Male,over 34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T20:33:00+00:00,False,,52.246488,-0.154570,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,False,False
Person and Vehicle search,2019-06-08T20:44:00+00:00,False,,53.569325,-2.294136,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Vehicle search,2019-06-08T20:45:00+00:00,False,,53.576089,-2.389976,Female,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T20:50:00+00:00,False,,53.569325,-2.294136,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T21:30:00+00:00,False,,53.483588,-2.206893,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Community resolution,False,False
Person search,2019-06-08T21:40:00+00:00,False,,53.483588,-2.206893,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Community resolution,False,False
Person and Vehicle search,2019-06-08T22:15:00+00:00,False,,53.605583,-2.149215,Male,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T22:52:00+00:00,True,,53.476867,-2.239450,Male,18-24,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T23:00:00+00:00,True,,53.485086,-2.242089,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T23:00:00+00:00,False,,53.540885,-2.117389,Male,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-08T23:19:00+00:00,False,,53.501778,-2.192509,,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,False,False
Person and Vehicle search,2019-06-08T23:40:00+00:00,True,,53.480612,-2.249748,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2019-06-08T23:50:00+00:00,False,,53.573693,-2.686488,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person and Vehicle search,2019-06-08T23:50:00+00:00,False,,53.573693,-2.686488,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2019-06-09T00:10:00+00:00,True,,53.473215,-2.249162,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T00:40:00+00:00,False,,53.477437,-2.237449,Male,18-24,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2019-06-09T00:45:00+00:00,False,,53.609759,-2.431745,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T00:51:00+00:00,False,,53.548008,-2.640432,,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2019-06-09T00:54:00+00:00,False,,53.560357,-2.123165,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2019-06-09T00:58:00+00:00,False,,53.610544,-2.433582,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T02:02:00+00:00,True,,53.475029,-2.250318,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T04:31:00+00:00,False,,53.483509,-2.234786,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2019-06-09T10:50:00+00:00,True,,53.482627,-2.240176,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T11:15:00+00:00,True,,53.481250,-2.236341,Male,under 10,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2019-06-09T11:40:00+00:00,True,,53.480277,-2.237782,Male,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2019-06-09T11:40:00+00:00,True,,53.480277,-2.237782,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2019-06-09T11:57:00+00:00,True,,53.527356,-2.268351,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person search,2019-06-09T12:20:00+00:00,False,,53.527330,-2.255680,,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T12:20:00+00:00,False,,53.527330,-2.255680,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Vehicle search,2019-06-09T12:33:00+00:00,True,,53.529115,-2.269509,,,,,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T12:44:00+00:00,True,,53.481250,-2.236341,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2019-06-09T12:50:00+00:00,False,,53.443070,-2.384029,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2019-06-09T12:53:00+00:00,True,,53.533017,-2.269021,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2019-06-09T12:54:00+00:00,True,,53.533017,-2.269021,Male,,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2019-06-09T13:04:00+00:00,False,,53.483593,-2.290679,Male,,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,False,False
Person search,2019-06-09T14:38:00+00:00,True,,53.481250,-2.236341,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T14:38:00+00:00,True,,53.481250,-2.236341,Male,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T15:40:00+00:00,False,,51.907260,-0.047188,Male,,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person search,2019-06-09T16:09:00+00:00,False,,53.549372,-2.647607,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2019-06-09T17:00:00+00:00,False,,53.452950,-2.157051,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T17:22:00+00:00,False,,51.461314,-0.147735,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T17:47:00+00:00,True,,53.485086,-2.242089,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,False,False
Person search,2019-06-09T18:06:00+00:00,False,,53.385870,-2.271564,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T18:30:00+00:00,False,,53.586892,-2.299666,Male,18-24,Asian/Asian British - Pakistani,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2019-06-09T18:35:00+00:00,False,,53.586892,-2.299666,Male,18-24,Asian/Asian British - Pakistani,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T18:38:00+00:00,False,,53.586892,-2.299666,Male,18-24,Asian/Asian British - Pakistani,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2019-06-09T18:42:00+00:00,False,,53.392840,-2.261940,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person and Vehicle search,2019-06-09T18:42:00+00:00,False,,53.392840,-2.261940,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person search,2019-06-09T20:05:00+00:00,False,,53.592891,-2.291202,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2019-06-09T20:05:00+00:00,False,,53.592891,-2.291202,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T20:05:00+00:00,False,,53.592891,-2.291202,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T20:05:00+00:00,False,,53.592891,-2.291202,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T21:02:00+00:00,False,,53.399730,-2.279398,Male,over 34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-09T22:20:00+00:00,False,,53.520167,-2.198399,Male,,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person and Vehicle search,2019-06-09T23:20:00+00:00,False,,53.530433,-2.140774,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Caution (simple or conditional),True,False
Person search,2019-06-09T23:30:00+00:00,False,,53.530433,-2.140774,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T01:00:00+00:00,False,,53.480932,-2.242472,Male,,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,A no further action disposal,,False
Person search,2019-06-10T01:15:00+00:00,False,,53.563932,-2.027093,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2019-06-10T01:18:00+00:00,False,,53.551288,-2.638852,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person and Vehicle search,2019-06-10T08:24:00+00:00,False,,53.483833,-2.345608,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2019-06-10T09:25:00+00:00,False,,53.568628,-2.346360,,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T10:25:00+00:00,False,,53.552878,-2.321281,,,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Stolen goods,A no further action disposal,,False
Person search,2019-06-10T10:25:00+00:00,True,,53.478955,-2.246815,Male,over 34,White - Irish,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2019-06-10T10:45:00+00:00,True,,53.478955,-2.246815,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T11:13:00+00:00,False,,53.484750,-2.210591,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,False,False
Person search,2019-06-10T11:25:00+00:00,True,,53.481169,-2.240966,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2019-06-10T11:36:00+00:00,True,,53.481169,-2.240966,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2019-06-10T12:00:00+00:00,True,,53.481169,-2.240966,Male,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T12:00:00+00:00,True,,53.478955,-2.246815,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Vehicle search,2019-06-10T12:06:00+00:00,False,,53.489274,-2.209001,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Summons / charged by post,False,False
Person search,2019-06-10T13:10:00+00:00,False,,53.580997,-2.302902,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T13:12:00+00:00,False,,53.580997,-2.302902,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T13:18:00+00:00,False,,53.487793,-2.093973,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T13:20:00+00:00,False,,53.487793,-2.093973,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T13:20:00+00:00,False,,53.487793,-2.093973,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T13:25:00+00:00,False,,53.532927,-2.421609,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2019-06-10T13:25:00+00:00,False,,53.532927,-2.421609,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2019-06-10T13:25:00+00:00,False,,53.483993,-2.387202,,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T13:30:00+00:00,False,,53.487793,-2.093973,,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T13:30:00+00:00,False,,53.487793,-2.093973,,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T13:30:00+00:00,False,,53.487793,-2.093973,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T13:33:00+00:00,False,,53.532927,-2.421609,,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,False,False
Person search,2019-06-10T14:21:00+00:00,False,,53.482293,-2.236482,,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T14:30:00+00:00,True,,53.481371,-2.234066,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T19:36:00+00:00,False,,53.546162,-2.683265,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T19:36:00+00:00,False,,53.546162,-2.683265,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T20:40:00+00:00,True,,53.481250,-2.236341,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T21:00:00+00:00,True,,53.477569,-2.252111,Male,25-34,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Controlled drugs,Arrest,False,False
Person search,2019-06-10T22:15:00+00:00,False,,53.514283,-2.201795,,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2019-06-10T22:21:00+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2019-06-10T22:22:00+00:00,False,,53.440888,-2.259646,Male,25-34,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T22:47:00+00:00,False,,53.577115,-2.136172,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Vehicle search,2019-06-10T23:15:00+00:00,False,,53.480700,-2.168214,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T23:15:00+00:00,False,,53.480700,-2.168214,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T23:15:00+00:00,False,,53.480700,-2.168214,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T23:15:00+00:00,False,,53.480700,-2.168214,,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-10T23:18:00+00:00,False,,53.480700,-2.168214,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2019-06-11T01:03:00+00:00,False,,53.539195,-2.125744,,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False
Person search,2019-06-11T01:18:00+00:00,False,,53.549987,-2.636855,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2019-06-11T02:15:00+00:00,False,,53.490973,-2.518739,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,False,False
Person search,2019-06-11T07:58:00+00:00,False,,53.492849,-2.529659,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,True
Person search,2019-06-11T07:58:00+00:00,False,,53.492849,-2.529659,,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,True
Person and Vehicle search,2019-06-11T11:00:00+00:00,False,,53.567573,-2.452379,Male,,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2019-06-11T11:45:00+00:00,False,,53.411030,-2.162086,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,True,False
Person search,2019-06-11T11:45:00+00:00,False,,53.411030,-2.162086,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,True,False
Person search,2019-06-11T11:45:00+00:00,False,,53.411030,-2.162086,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,True,False
Person search,2019-06-11T11:55:00+00:00,False,,53.409521,-2.161509,Female,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,False,False
Person search,2019-06-11T15:20:00+00:00,False,,53.399144,-2.291456,,,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
